T	slope	delta
-40	0.00186979837365677	-0.000308258212143907
-30	0.00186230979801554	-0.000859611453908119
-20	0.00183610464276859	-0.000669526966998228
-10	0.00180975883232299	-0.000698791594773069
0	0.00177168081186047	-0.000759452318683472
10	0.00172940183123686	-0.000557438696132601
20	0.00171368039642159	-0.000932671290706598
30	0.00165774975908138	-0.000993593161323486
40	0.00162468497758209	-0.000913963564560559
50	0.00154219601022986	-0.000934914511227932
60	0.00144784315457007	-0.00102035788184294
70	0.00123524542390186	-0.000417657012238071
