T	slope	delta
-40	2.85608592065059e-05	0.295853584633453
-30	2.86296592019432e-05	0.291995984666887
-20	2.87158500553046e-05	0.287000055822675
-10	2.85383566870589e-05	0.282645539094972
0	2.84244810273181e-05	0.278200637964118
10	2.83003814539292e-05	0.274057591262198
20	2.82809274857523e-05	0.269829212226589
30	2.82366944288481e-05	0.263519758417772
40	2.84809628988253e-05	0.256856656241441
50	2.85995372809726e-05	0.250444511956546
60	2.89127395843697e-05	0.247264670786781
70	2.9168921994363e-05	0.240585582190188
