Inj	tm40	tm30	tm20	tm10	t0	t10	t20	t30	t40	t50	t60	t70
0.001	0.00457	0.00126	0.00249	0.00125	0.01209	0.02562	0.03984	0.03062	0.03797	0.01221	0.02648	0.01251
0.001018133	0.00546	0.0018	0.000991	0.00524	0.01164	0.02838	0.03883	0.02866	0.04013	0.01024	0.02813	0.01225
0.001036594	0.00455	0.00267	0.00239	0.00511	0.01331	0.02991	0.03944	0.0297	0.03736	0.01184	0.02834	0.01533
0.00105539	0.00584	0.00388	0.00332	0.00921	0.01415	0.03058	0.04116	0.03203	0.03858	0.01427	0.0296	0.01484
0.001074527	0.00761	0.00397	0.00405	0.00759	0.01362	0.02835	0.04164	0.03492	0.03865	0.01521	0.02918	0.01546
0.001094011	0.00658	0.00584	0.00596	0.01004	0.01231	0.027	0.04306	0.03159	0.04057	0.01392	0.03014	0.01408
0.001113849	0.00614	0.0027	0.00447	0.00984	0.01329	0.02785	0.03419	0.03245	0.04175	0.01524	0.0303	0.0154
0.001134046	0.00431	0.00286	0.00515	0.00506	0.01266	0.02688	0.03423	0.03236	0.03976	0.01472	0.02937	0.0149
0.001154609	0.0111	0.00646	0.00441	0.00979	0.0133	0.02898	0.03506	0.03198	0.03908	0.01536	0.02882	0.01533
0.001175545	0.00731	0.00422	0.01023	0.01045	0.0142	0.03039	0.034	0.03331	0.04161	0.01498	0.02995	0.01649
0.001196861	0.00848	0.00544	0.00773	0.01156	0.01685	0.0301	0.03615	0.03393	0.04114	0.01519	0.03081	0.01726
0.001218563	0.00909	0.00558	0.0074	0.01044	0.01512	0.02922	0.03516	0.03456	0.041	0.01546	0.0309	0.01681
0.001240659	0.0089	0.00456	0.00554	0.00993	0.01614	0.03015	0.03609	0.03367	0.04346	0.01446	0.03028	0.01501
0.001263155	0.00851	0.00698	0.00853	0.01002	0.01726	0.03113	0.03624	0.03755	0.04446	0.0161	0.03339	0.01912
0.00128606	0.01084	0.00693	0.00803	0.01175	0.01648	0.03111	0.0377	0.03634	0.04391	0.01586	0.03291	0.01795
0.00130938	0.01139	0.0047	0.00908	0.01137	0.01693	0.03099	0.03587	0.03699	0.04206	0.01812	0.03179	0.01647
0.001333122	0.01072	0.00617	0.00873	0.01288	0.01611	0.0317	0.03544	0.03693	0.04287	0.0164	0.03492	0.01828
0.001357295	0.01168	0.00846	0.0078	0.01323	0.02006	0.03219	0.03603	0.03622	0.04375	0.02097	0.0341	0.01785
